227;ALE;Alpine–Casparis Municipal Airport (FAA: E38);Alpine, Texas, United States
228;ALF;Alta Airport;Alta, Norway
229;ALG;Houari Boumediene Airport;Algiers, Algeria
230;ALH;Albany Airport;Albany, Western Australia, Australia
231;ALI;Alice International Airport;Alice, Texas, United States
232;ALJ;Alexander Bay Airport;Alexander Bay, South Africa
233;ALK;Asella Airport;Asella, Ethiopia
234;ALL;Albenga Airport;Albenga, Liguria, Italy
235;ALM;Alamogordo–White Sands Regional Airport;Alamogordo, New Mexico, United States
236;ALN;St. Louis Regional Airport;Alton, Illinois, United States
237;ALO;Waterloo Regional Airport;Waterloo, Iowa, United States
238;ALP;Aleppo International Airport;Aleppo, Syria
239;ALQ;Alegrete Airport;Alegrete, Rio Grande do Sul, Brazil
240;ALR;Alexandra Aerodrome;Alexandra, New Zealand
241;ALS;San Luis Valley Regional Airport;Alamosa, Colorado, United States
242;ALT;Alenquer Airport;Alenquer, Pará, Brazil
243;ALU;Alula Airport;Alula, Somalia
244;ALW;Walla Walla Regional Airport;Walla Walla, Washington, United States
245;ALX;Thomas C. Russell Field;Alexander City, Alabama, United States
246;ALY;El Nouzha Airport;Alexandria, Egypt
247;ALZ;Alitak Seaplane Base;Lazy Bay, Alaska, United States
248;AMA;Rick Husband Amarillo International Airport;Amarillo, Texas, United States
249;AMB;Ambilobe Airport;Ambilobe, Madagascar
250;AMC;Am Timan Airport;Am Timan, Chad
251;AMD;Sardar Vallabhbhai Patel International Airport;Ahmedabad, Gujarat, India
252;AME;Alto Molocue Airport;Alto Molocue, Mozambique
253;AMF;Ama Airport;Ama, Papua New Guinea
254;AMG;Amboin Airport;Amboin, Papua New Guinea
255;AMH;Arba Minch Airport;Arba Minch, Ethiopia
256;AMI;Selaparang Airport (closed 2011);Mataram, Indonesia
257;AMJ;Almenara Airport;Almenara, Minas Gerais, Brazil
258;AMK;Animas Air Park (FAA: 00C);Durango, Colorado, United States
259;AML;Puerto Armuelles Airport;Puerto Armuelles, Panama
260;AMM;Queen Alia International Airport;Amman, Jordan
261;AMN;Gratiot Community Airport;Alma, Michigan, United States
262;AMO;Mao Airport;Mao, Chad
263;AMP;Ampanihy Airport;Ampanihy, Madagascar
264;AMQ;Pattimura Airport;Ambon, Indonesia
265;AMS;Amsterdam Airport Schiphol;Amsterdam, Netherlands
266;AMT;Amata Airport;Amata, Northern Territory, Australia
267;AMU;Amanab Airport;Amanab, Papua New Guinea
